file_path,image_path,epoch_idx,label,delta_power,theta_power,alpha_power,beta_power,gamma_power,delta_rel_power,theta_rel_power,alpha_rel_power,beta_rel_power,gamma_rel_power
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_000.png,0,-1,5.00600875826197e-10,1.8615628646440822e-10,2.2979580175062985e-10,1.4347101529333654e-10,3.349370878356649e-11,0.4577894635501449,0.17023619140973317,0.21014365313659555,0.1312013667929226,0.030629325110603976
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_001.png,1,-1,2.687952723354316e-10,2.625229479737074e-10,2.2956788766202066e-10,1.4851794247509455e-10,2.504072768419603e-11,0.28765238848379254,0.28094003425107555,0.2456730381877874,0.15893709928181668,0.02679743979552775
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_002.png,2,-1,1.5330687225593724e-10,1.4958839957284776e-10,8.059209495312457e-11,1.0524620443862363e-10,1.3859474077167181e-11,0.30503182184928396,0.2976332461668709,0.16035258686356782,0.2094064082726876,0.027575936847589713
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_003.png,3,-1,1.5151703838120874e-10,1.1720483108883775e-10,9.679256320511194e-11,8.914491146747776e-11,1.9153498505283025e-11,0.3197824641781565,0.24736524749695374,0.20428438086267015,0.18814372140967808,0.04042418605254143
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_004.png,4,-1,4.656617192221961e-10,8.33878045001288e-11,7.432640780115754e-11,1.264720448611439e-10,1.0680802304449537e-11,0.6122867829207695,0.10964450897422244,0.09772990830047752,0.16629488377697407,0.014043916027556573
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_005.png,5,-1,2.3995687143452736e-10,8.430125316759575e-11,7.97148524424923e-11,1.6005188494666112e-10,1.7935267313971168e-11,0.4123252768552912,0.1448574376877601,0.13697648417539707,0.27502207949835555,0.030818721783195942
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_006.png,6,-1,4.130629149119048e-10,1.4293587886126028e-10,2.0572928398934296e-10,1.974575936749372e-10,2.4302180003262647e-11,0.4199979840186235,0.1453356832541185,0.20918335054975093,0.20077278370615587,0.02471019847135119
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_007.png,7,-1,4.808418015216066e-10,1.7938556201885902e-10,3.183209930492475e-10,1.4316644844949682e-10,2.5687073293281356e-11,0.41907008398871515,0.15634065570779648,0.27742763809299364,0.12477445884746095,0.022387163363033837
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_008.png,8,-1,6.623552893483304e-10,1.596275186216262e-10,2.8104912392867197e-10,9.492691331361161e-11,2.2416637227972078e-11,0.5427471289605984,0.13080197112977196,0.2302972552076331,0.07778500525412037,0.018368639447876072
D:/CodeRush1.0/processed_data\S001R02_clean.fif,D:/CodeRush1.0/features\images\S001R02_clean_epoch_009.png,9,-1,4.926430310775931e-10,1.44741024433118e-10,1.5131111170471952e-10,1.446958008618533e-10,1.2262673979942346e-11,0.5209550401623482,0.15305923648561276,0.16000690419332506,0.1530114139327737,0.01296740522594029
